PYROEXPORT ROOT
RootFile, Data2208.root
HistTitle, hvt_2
XAxis, 
YAxis, 
NBins, 8192
DATA
lower bin edge, bin content, bin error 
1097, 9, 3
1098, 6, 2.44949
1099, 2, 1.41421
1100, 3, 1.73205
1101, 6, 2.44949
1102, 1, 1
1103, 7, 2.64575
1104, 2, 1.41421
1105, 2, 1.41421
1106, 7, 2.64575
1107, 8, 2.82843
1108, 2, 1.41421
1109, 9, 3
1110, 1, 1
1111, 4, 2
1112, 10, 3.16228
1113, 6, 2.44949
1114, 4, 2
1115, 6, 2.44949
1116, 6, 2.44949
1117, 4, 2
1118, 3, 1.73205
1119, 2, 1.41421
1120, 3, 1.73205
1121, 5, 2.23607
1122, 5, 2.23607
1123, 2, 1.41421
1124, 7, 2.64575
1125, 1, 1
1126, 4, 2
1127, 4, 2
1128, 1, 1
1129, 5, 2.23607
1130, 7, 2.64575
1131, 4, 2
1132, 2, 1.41421
1133, 3, 1.73205
1134, 4, 2
1135, 5, 2.23607
1136, 7, 2.64575
1137, 3, 1.73205
1138, 5, 2.23607
1139, 3, 1.73205
1140, 6, 2.44949
1141, 5, 2.23607
1142, 3, 1.73205
1143, 9, 3
1144, 7, 2.64575
1145, 4, 2
1146, 8, 2.82843
1147, 4, 2
1148, 1, 1
1149, 5, 2.23607
1150, 9, 3
1151, 7, 2.64575
1152, 4, 2
1153, 3, 1.73205
1154, 1, 1
1155, 6, 2.44949
1156, 4, 2
1157, 6, 2.44949
1158, 0, 0
1159, 7, 2.64575
1160, 2, 1.41421
1161, 4, 2
1162, 6, 2.44949
1163, 3, 1.73205
1164, 8, 2.82843
1165, 7, 2.64575
1166, 5, 2.23607
1167, 4, 2
1168, 7, 2.64575
1169, 5, 2.23607
1170, 3, 1.73205
1171, 0, 0
1172, 3, 1.73205
1173, 2, 1.41421
1174, 8, 2.82843
1175, 3, 1.73205
1176, 3, 1.73205
1177, 6, 2.44949
1178, 8, 2.82843
1179, 6, 2.44949
1180, 4, 2
1181, 3, 1.73205
1182, 4, 2
1183, 3, 1.73205
1184, 4, 2
1185, 4, 2
1186, 2, 1.41421
1187, 2, 1.41421
1188, 4, 2
1189, 3, 1.73205
1190, 2, 1.41421
1191, 4, 2
1192, 6, 2.44949
1193, 9, 3
1194, 7, 2.64575
1195, 2, 1.41421
1196, 3, 1.73205
1197, 6, 2.44949
1198, 4, 2
1199, 3, 1.73205
1200, 2, 1.41421
1201, 3, 1.73205
1202, 8, 2.82843
1203, 10, 3.16228
1204, 1, 1
1205, 3, 1.73205
1206, 4, 2
1207, 6, 2.44949
1208, 4, 2
1209, 4, 2
1210, 3, 1.73205
1211, 2, 1.41421
1212, 2, 1.41421
1213, 3, 1.73205
1214, 7, 2.64575
1215, 4, 2
1216, 6, 2.44949
1217, 7, 2.64575
1218, 4, 2
1219, 4, 2
1220, 4, 2
1221, 6, 2.44949
1222, 2, 1.41421
1223, 6, 2.44949
1224, 1, 1
1225, 4, 2
1226, 3, 1.73205
1227, 6, 2.44949
1228, 8, 2.82843
1229, 6, 2.44949
1230, 5, 2.23607
1231, 1, 1
1232, 7, 2.64575
1233, 8, 2.82843
1234, 5, 2.23607
1235, 6, 2.44949
1236, 1, 1
1237, 7, 2.64575
1238, 3, 1.73205
1239, 2, 1.41421
1240, 6, 2.44949
1241, 2, 1.41421
1242, 1, 1
1243, 5, 2.23607
1244, 8, 2.82843
1245, 5, 2.23607
1246, 3, 1.73205
1247, 4, 2
1248, 5, 2.23607
1249, 6, 2.44949
1250, 8, 2.82843
1251, 9, 3
1252, 10, 3.16228
1253, 4, 2
1254, 4, 2
1255, 5, 2.23607
1256, 1, 1
1257, 5, 2.23607
1258, 5, 2.23607
1259, 5, 2.23607
1260, 7, 2.64575
1261, 2, 1.41421
1262, 4, 2
1263, 2, 1.41421
1264, 2, 1.41421
1265, 7, 2.64575
1266, 3, 1.73205
1267, 5, 2.23607
1268, 4, 2
1269, 6, 2.44949
1270, 1, 1
1271, 3, 1.73205
1272, 4, 2
1273, 3, 1.73205
1274, 3, 1.73205
1275, 3, 1.73205
1276, 5, 2.23607
1277, 9, 3
1278, 2, 1.41421
1279, 3, 1.73205
1280, 2, 1.41421
1281, 5, 2.23607
1282, 4, 2
1283, 2, 1.41421
1284, 3, 1.73205
1285, 1, 1
1286, 3, 1.73205
1287, 4, 2
1288, 4, 2
1289, 4, 2
1290, 4, 2
1291, 5, 2.23607
1292, 3, 1.73205
1293, 2, 1.41421
1294, 7, 2.64575
1295, 6, 2.44949
1296, 1, 1
1297, 5, 2.23607
1298, 4, 2
1299, 4, 2
1300, 7, 2.64575
1301, 5, 2.23607
1302, 4, 2
1303, 3, 1.73205
1304, 1, 1
1305, 8, 2.82843
1306, 2, 1.41421
1307, 2, 1.41421
1308, 5, 2.23607
1309, 1, 1
1310, 3, 1.73205
1311, 5, 2.23607
1312, 1, 1
1313, 2, 1.41421
1314, 2, 1.41421
1315, 1, 1
1316, 4, 2
1317, 2, 1.41421
1318, 1, 1
1319, 10, 3.16228
1320, 4, 2
1321, 9, 3
1322, 2, 1.41421
1323, 3, 1.73205
1324, 4, 2
1325, 2, 1.41421
1326, 1, 1
1327, 4, 2
1328, 6, 2.44949
1329, 6, 2.44949
1330, 5, 2.23607
